session_key,Date,Workout Name,Duration,Exercise_Name,Equipment,Set_Order,Weight,Reps,Distance,Seconds,Notes,Workout_Notes,RPE
11,2024-06-09 16:10:32,Back and Biceps + Some Legs And Core,1h 56m,Leg Presses: 45° Leg Press,Sled,24,225,12,0,0,,,
11,2024-06-09 16:10:32,Back and Biceps + Some Legs And Core,1h 56m,Roman Chair Sit-up,Body Weight,25,0,12,0,0,,,
11,2024-06-09 16:10:32,Back and Biceps + Some Legs And Core,1h 56m,Roman Chair Sit-up,Body Weight,26,0,12,0,0,,,
11,2024-06-09 16:10:32,Back and Biceps + Some Legs And Core,1h 56m,Roman Chair Sit-up,Body Weight,27,0,12,0,0,,,
12,2024-06-10 22:00:51,Day 1: Chest And Triceps,1h 49m,Bench Press,Barbell,1,95,12,0,447,,,
12,2024-06-10 22:00:51,Day 1: Chest And Triceps,1h 49m,Bench Press,Barbell,2,95,12,0,0,I failed 115 because of a wrist issue,,
12,2024-06-10 22:00:51,Day 1: Chest And Triceps,1h 49m,Bench Press,Barbell,3,95,12,0,0,,,
12,2024-06-10 22:00:51,Day 1: Chest And Triceps,1h 49m,Bench Press,Barbell,4,95,12,0,0,,,
12,2024-06-10 22:00:51,Day 1: Chest And Triceps,1h 49m,Bench Press,Barbell,5,115,8,0,0,,,
12,2024-06-10 22:00:51,Day 1: Chest And Triceps,1h 49m,Incline Bench Press,Dumbbell,6,40,12,0,0,,,
12,2024-06-10 22:00:51,Day 1: Chest And Triceps,1h 49m,Incline Bench Press,Dumbbell,7,50,12,0,0,,,
12,2024-06-10 22:00:51,Day 1: Chest And Triceps,1h 49m,Incline Bench Press,Dumbbell,8,60,12,0,0,,,
12,2024-06-10 22:00:51,Day 1: Chest And Triceps,1h 49m,Incline Bench Press,Dumbbell,9,70,12,0,0,,,
12,2024-06-10 22:00:51,Day 1: Chest And Triceps,1h 49m,Flies: Standing Fly,Cable,10,50,12,0,0,30 each arm x 2 = 60 recorded,,
12,2024-06-10 22:00:51,Day 1: Chest And Triceps,1h 49m,Flies: Standing Fly,Cable,11,60,12,0,0,,,
12,2024-06-10 22:00:51,Day 1: Chest And Triceps,1h 49m,Flies: Standing Fly,Cable,12,70,12,0,0,,,
12,2024-06-10 22:00:51,Day 1: Chest And Triceps,1h 49m,Flies: Standing Fly,Cable,13,80,12,0,0,,,
12,2024-06-10 22:00:51,Day 1: Chest And Triceps,1h 49m,Bench Press,Dumbbell,14,40,12,0,0,,,
12,2024-06-10 22:00:51,Day 1: Chest And Triceps,1h 49m,Bench Press,Dumbbell,15,50,12,0,0,,,
12,2024-06-10 22:00:51,Day 1: Chest And Triceps,1h 49m,Bench Press,Dumbbell,16,60,12,0,0,,,
12,2024-06-10 22:00:51,Day 1: Chest And Triceps,1h 49m,Bench Press,Dumbbell,17,70,5,0,0,,,
12,2024-06-10 22:00:51,Day 1: Chest And Triceps,1h 49m,Decline Bench Press,Dumbbell,18,20,12,0,0,,,
12,2024-06-10 22:00:51,Day 1: Chest And Triceps,1h 49m,Triceps Extension,,19,15,12,0,0,,,
12,2024-06-10 22:00:51,Day 1: Chest And Triceps,1h 49m,Triceps Extension,,20,20,6,0,0,,,
12,2024-06-10 22:00:51,Day 1: Chest And Triceps,1h 49m,Triceps Extension,,21,15,12,0,0,,,
13,2024-06-11 21:50:23,Day 2: Full Body Calisthenics [and MMA],59m,Push-up,Body Weight,1,0,25,0,0,My right wrist hurts. I’m not doing more.,,
13,2024-06-11 21:50:23,Day 2: Full Body Calisthenics [and MMA],59m,Squat,,2,0,20,0,0,,,
13,2024-06-11 21:50:23,Day 2: Full Body Calisthenics [and MMA],59m,Squat,,3,0,20,0,0,,,
13,2024-06-11 21:50:23,Day 2: Full Body Calisthenics [and MMA],59m,Squat,,4,0,20,0,0,,,
13,2024-06-11 21:50:23,Day 2: Full Body Calisthenics [and MMA],59m,Squat,,5,0,20,0,0,,,
13,2024-06-11 21:50:23,Day 2: Full Body Calisthenics [and MMA],59m,Lunge,Body Weight,6,0,5,0,0,5 each leg,,
13,2024-06-11 21:50:23,Day 2: Full Body Calisthenics [and MMA],59m,Lunge,Body Weight,7,0,5,0,0,,,
13,2024-06-11 21:50:23,Day 2: Full Body Calisthenics [and MMA],59m,Lunge,Body Weight,8,0,5,0,0,,,
13,2024-06-11 21:50:23,Day 2: Full Body Calisthenics [and MMA],59m,Lunge,Body Weight,9,0,5,0,0,,,
14,2024-06-12 22:04:05,Back and Biceps,1h 8m,Seated Row,Cable,1,130,12,0,0,,,
14,2024-06-12 22:04:05,Back and Biceps,1h 8m,Seated Row,Cable,2,140,12,0,0,,,
14,2024-06-12 22:04:05,Back and Biceps,1h 8m,Seated Row,Cable,3,140,12,0,0,,,
14,2024-06-12 22:04:05,Back and Biceps,1h 8m,Seated Row,Cable,4,150,12,0,0,,,
14,2024-06-12 22:04:05,Back and Biceps,1h 8m,"Pulldown	",Cable,5,70,12,0,0,,,
14,2024-06-12 22:04:05,Back and Biceps,1h 8m,"Pulldown	",Cable,6,70,12,0,0,,,
14,2024-06-12 22:04:05,Back and Biceps,1h 8m,"Pulldown	",Cable,7,85,12,0,0,,,
14,2024-06-12 22:04:05,Back and Biceps,1h 8m,"Pulldown	",Cable,8,85,12,0,0,,,
14,2024-06-12 22:04:05,Back and Biceps,1h 8m,Curl,Dumbbell,9,40,12,0,0,Previous 20lbs = 40 lbs (20 each arm)\nStruggled on the 25s (50),,
14,2024-06-12 22:04:05,Back and Biceps,1h 8m,Curl,Dumbbell,10,40,12,0,0,,,
14,2024-06-12 22:04:05,Back and Biceps,1h 8m,Curl,Dumbbell,11,40,12,0,0,,,
14,2024-06-12 22:04:05,Back and Biceps,1h 8m,Curl,Dumbbell,12,50,12,0,0,,,
14,2024-06-12 22:04:05,Back and Biceps,1h 8m,"Face Pull	",Cable,13,45,12,0,0,,,
14,2024-06-12 22:04:05,Back and Biceps,1h 8m,"Face Pull	",Cable,14,45,12,0,0,,,
14,2024-06-12 22:04:05,Back and Biceps,1h 8m,"Face Pull	",Cable,15,50,12,0,0,,,
14,2024-06-12 22:04:05,Back and Biceps,1h 8m,"Face Pull	",Cable,16,55,12,0,0,,,
14,2024-06-12 22:04:05,Back and Biceps,1h 8m,Hammer Curl,Dumbbell,17,40,12,0,0,40 = 20 lbs,,
14,2024-06-12 22:04:05,Back and Biceps,1h 8m,Hammer Curl,Dumbbell,18,40,12,0,0,,,
14,2024-06-12 22:04:05,Back and Biceps,1h 8m,Hammer Curl,Dumbbell,19,40,12,0,0,,,
14,2024-06-12 22:04:05,Back and Biceps,1h 8m,Hammer Curl,Dumbbell,20,40,12,0,0,,,
14,2024-06-12 22:04:05,Back and Biceps,1h 8m,Preacher Curl,Dumbbell,21,25,12,0,0,,,
14,2024-06-12 22:04:05,Back and Biceps,1h 8m,Preacher Curl,Dumbbell,22,35,5,0,0,,,
15,2024-06-15 20:55:20,Legs,1h 5m,Leg Presses: 45° Leg Press,Sled,1,315,12,0,0,,,
15,2024-06-15 20:55:20,Legs,1h 5m,Leg Presses: 45° Leg Press,Sled,2,405,6,0,0,,,
15,2024-06-15 20:55:20,Legs,1h 5m,Leg Presses: 45° Leg Press,Sled,3,405,8,0,0,,,
15,2024-06-15 20:55:20,Legs,1h 5m,Squat,Barbell,4,135,12,0,0,I’m so tired bro. I didn’t eat much today either.,,
15,2024-06-15 20:55:20,Legs,1h 5m,Squat,Barbell,5,135,2,0,0,,,
15,2024-06-15 20:55:20,Legs,1h 5m,Squat,Barbell,6,135,6,0,0,,,
15,2024-06-15 20:55:20,Legs,1h 5m,Squat,Barbell,7,135,6,0,0,,,
15,2024-06-15 20:55:20,Legs,1h 5m,Lying Leg Raise,Body Weight,8,0,12,0,0,,,
15,2024-06-15 20:55:20,Legs,1h 5m,Lying Leg Raise,Body Weight,9,0,12,0,0,,,
